267.897	12.2373	120.585	291.293	328.189	157.884
268.038	12.4809	120.585	291.293	328.33	158.128	35125.5
268.131	12.3684	120.585	291.293	328.424	158.015	35125.5
268.095	12.3837	120.585	291.293	328.387	158.03	35125.5
268.148	12.1651	120.585	291.293	328.44	157.812	35125.5
268.244	12.462	120.585	291.293	328.536	158.109	35125.5
268.022	12.6377	120.585	291.293	328.314	158.284	35125.5
268.061	11.902	120.585	291.293	328.353	157.549	35125.5
268.04	11.5529	120.585	291.293	328.333	157.2	35125.5
268.048	11.3309	120.585	291.293	328.341	156.978	35125.5
267.781	10.443	120.585	291.293	328.073	156.09	35125.5
268.043	10.0552	120.585	291.293	328.336	155.702	35125.5
268.274	9.6407	120.585	291.293	328.566	155.287	35125.5
268.788	8.98215	120.585	291.293	329.08	154.629	35125.5
265.066	1.54999	126.614	305.858	328.373	154.479	38725.9
264.649	2.04479	126.614	305.858	327.956	154.974	38725.9
265.149	2.65173	126.614	305.858	328.456	155.581	38725.9
268.445	9.49634	120.585	291.293	328.737	155.143	35125.5
268.794	7.4681	120.585	291.293	329.087	153.115	35125.5
265.449	-3.59075	126.614	305.858	328.756	149.338	38725.9
265.612	0.390931	126.614	305.858	328.919	153.32	38725.9
264.169	4.37883	126.614	305.858	327.476	157.308	38725.9
262.715	0.0674696	126.614	305.858	326.021	152.996	38725.9
263.214	-4.78012	126.614	305.858	326.521	148.149	38725.9
262.931	-4.14277	126.614	305.858	326.238	148.786	38725.9
261.603	2.67132	126.614	305.858	324.91	155.6	38725.9
265.231	11.0576	120.585	291.293	325.524	156.704	35125.5
266.201	11.3811	120.585	291.293	326.493	157.028	35125.5
266.139	12.1365	120.585	291.293	326.431	157.783	35125.5
266.203	13.1552	120.585	291.293	326.495	158.802	35125.5
266.333	14.457	120.585	291.293	326.625	160.104	35125.5
269.806	20.8128	114.843	277.422	327.227	159.524	31859.9
270.144	20.4077	114.843	277.422	327.565	159.119	31859.9
266.709	13.8733	120.585	291.293	327.002	159.52	35125.5
264.942	14.0564	120.585	291.293	325.234	159.703	35125.5
264.23	14.3096	120.585	291.293	324.522	159.956	35125.5
263.411	12.8556	120.585	291.293	323.704	158.502	35125.5
262.799	10.0988	120.585	291.293	323.091	155.745	35125.5
262.43	11.0659	120.585	291.293	322.723	156.712	35125.5
265.714	22.1339	114.843	277.422	323.136	160.845	31859.9
264.672	22.2936	114.843	277.422	322.093	161.005	31859.9
265.849	21.1997	114.843	277.422	323.271	159.911	31859.9
266.866	21.5892	114.843	277.422	324.288	160.3	31859.9
266.11	22.6491	114.843	277.422	323.532	161.36	31859.9
262.715	16.244	120.585	291.293	323.008	161.891	35125.5
263.091	15.1297	120.585	291.293	323.383	160.776	35125.5
263.341	15.427	120.585	291.293	323.633	161.074	35125.5
262.578	13.8828	120.585	291.293	322.871	159.529	35125.5
261.792	10.706	120.585	291.293	322.084	156.353	35125.5
258.876	0.341983	126.614	305.858	322.183	153.271	38725.9
257.877	-0.326533	126.614	305.858	321.184	152.602	38725.9
256.993	2.42822	126.614	305.858	320.3	155.357	38725.9
260.134	10.1931	120.585	291.293	320.426	155.84	35125.5
260.521	11.4826	120.585	291.293	320.814	157.129	35125.5
260.986	12.7199	120.585	291.293	321.278	158.366	35125.5
261.554	13.2562	120.585	291.293	321.846	158.903	35125.5
261.577	13.8779	120.585	291.293	321.869	159.524	35125.5
261.336	13.2258	120.585	291.293	321.629	158.872	35125.5
260.794	12.9316	120.585	291.293	321.086	158.578	35125.5
261.324	13.5033	120.585	291.293	321.617	159.15	35125.5
261.515	13.3107	120.585	291.293	321.807	158.957	35125.5
262.088	13.5222	120.585	291.293	322.38	159.169	35125.5
262.322	12.2993	120.585	291.293	322.615	157.946	35125.5
262.26	12.8432	120.585	291.293	322.552	158.49	35125.5
262.881	12.6202	120.585	291.293	323.173	158.267	35125.5
262.356	13.4621	120.585	291.293	322.649	159.109	35125.5
262.35	13.1094	120.585	291.293	322.642	158.756	35125.5
262.418	13.1695	120.585	291.293	322.711	158.816	35125.5
262.289	12.9842	120.585	291.293	322.581	158.631	35125.5
262.75	13.2755	120.585	291.293	323.043	158.922	35125.5
262.323	14.1612	120.585	291.293	322.616	159.808	35125.5
261.812	13.4235	120.585	291.293	322.105	159.07	35125.5
261.597	12.6726	120.585	291.293	321.889	158.319	35125.5
261.772	13.1485	120.585	291.293	322.065	158.795	35125.5
262.051	13.0104	120.585	291.293	322.343	158.657	35125.5
262.117	12.8253	120.585	291.293	322.41	158.472	35125.5
261.867	13.1937	120.585	291.293	322.159	158.84	35125.5
261.444	13.4267	120.585	291.293	321.737	159.073	35125.5
262.214	12.6897	120.585	291.293	322.507	158.336	35125.5
262.915	12.9011	120.585	291.293	323.207	158.548	35125.5
262.923	13.4283	120.585	291.293	323.215	159.075	35125.5
263.459	14.0899	120.585	291.293	323.751	159.736	35125.5
264.423	14.3356	120.585	291.293	324.715	159.982	35125.5
265.213	14.0087	120.585	291.293	325.506	159.655	35125.5
265.399	13.9475	120.585	291.293	325.692	159.594	35125.5
265.85	13.8706	120.585	291.293	326.142	159.517	35125.5
266.078	13.752	120.585	291.293	326.371	159.399	35125.5
266.391	13.5299	120.585	291.293	326.683	159.177	35125.5
266.616	13.3602	120.585	291.293	326.909	159.007	35125.5
267.183	13.1472	120.585	291.293	327.476	158.794	35125.5
267.853	13.4092	120.585	291.293	328.146	159.056	35125.5
268.565	12.8937	120.585	291.293	328.858	158.54	35125.5
269.665	12.2277	120.585	291.293	329.958	157.874	35125.5
271.404	11.6211	120.585	291.293	331.696	157.268	35125.5
273.462	11.1685	120.585	291.293	333.754	156.815	35125.5
274.596	11.9115	120.585	291.293	334.888	157.558	35125.5
276.89	12.6451	120.585	291.293	337.183	158.292	35125.5
277.734	12.9832	120.585	291.293	338.026	158.63	35125.5
277.964	12.8691	120.585	291.293	338.256	158.516	35125.5
278.268	13.1487	120.585	291.293	338.56	158.795	35125.5
278.362	13.7945	120.585	291.293	338.655	159.441	35125.5
278.308	14.5758	120.585	291.293	338.6	160.222	35125.5
278.164	15.6753	120.585	291.293	338.456	161.322	35125.5
278.383	16.667	120.585	291.293	338.675	162.314	35125.5
280.781	23.3067	114.843	277.422	338.203	162.018	31859.9
279.695	21.9078	114.843	277.422	337.116	160.619	31859.9
279.008	21.5797	114.843	277.422	336.43	160.291	31859.9
278.685	22.4714	114.843	277.422	336.107	161.182	31859.9
277.338	21.4816	114.843	277.422	334.76	160.193	31859.9
278.497	27.6438	109.374	264.212	333.184	159.75	28897.8
277.323	27.4719	109.374	264.212	332.01	159.578	28897.8
277.018	29.0912	109.374	264.212	331.705	161.197	28897.8
276.211	28.9503	109.374	264.212	330.898	161.056	28897.8
276.662	28.4074	109.374	264.212	331.349	160.513	28897.8
276.251	26.3234	109.374	264.212	330.938	158.429	28897.8
276.187	27.1304	109.374	264.212	330.874	159.236	28897.8
274.146	21.4752	114.843	277.422	331.567	160.186	31859.9
274.022	21.8098	114.843	277.422	331.443	160.521	31859.9
274.439	20.6031	114.843	277.422	331.861	159.314	31859.9
275.25	22.0574	114.843	277.422	332.671	160.768	31859.9
276.025	22.3631	114.843	277.422	333.447	161.074	31859.9
278.222	21.7704	114.843	277.422	335.643	160.481	31859.9
279.364	21.3754	114.843	277.422	336.786	160.086	31859.9
282.107	21.3804	114.843	277.422	339.528	160.091	31859.9
284.528	20.9576	114.843	277.422	341.949	159.669	31859.9
289.244	27.2733	109.374	264.212	343.931	159.379	28897.8
292.118	26.698	109.374	264.212	346.805	158.804	28897.8
294.229	28.4031	109.374	264.212	348.916	160.509	28897.8
293.558	29.4262	109.374	264.212	348.245	161.532	28897.8
293.251	30.0601	109.374	264.212	347.938	162.166	28897.8
293.719	28.3177	109.374	264.212	348.406	160.423	28897.8
294.616	27.612	109.374	264.212	349.303	159.718	28897.8
295.77	27.4651	109.374	264.212	350.457	159.571	28897.8
296.289	27.3457	109.374	264.212	350.976	159.451	28897.8
296.681	26.9696	109.374	264.212	351.368	159.075	28897.8
297.167	26.7951	109.374	264.212	351.854	158.901	28897.8
297.91	27.8301	109.374	264.212	352.597	159.936	28897.8
294.774	22.841	114.843	277.422	352.196	161.552	31859.9
294.687	22.7264	114.843	277.422	352.109	161.437	31859.9
293.846	23.2508	114.843	277.422	351.268	161.962	31859.9
292.888	23.0046	114.843	277.422	350.309	161.716	31859.9
291.169	23.4154	114.843	277.422	348.59	162.126	31859.9
290.449	22.8123	114.843	277.422	347.871	161.523	31859.9
288.947	22.6387	114.843	277.422	346.368	161.35	31859.9
286.513	22.1021	114.843	277.422	343.935	160.813	31859.9
284.883	19.2808	114.843	277.422	342.304	157.992	31859.9
283.566	18.3287	114.843	277.422	340.987	157.04	31859.9
282.557	18.3784	114.843	277.422	339.978	157.089	31859.9
281.455	18.3332	114.843	277.422	338.876	157.044	31859.9
281.244	18.6525	114.843	277.422	338.665	157.364	31859.9
280.607	18.855	114.843	277.422	338.028	157.566	31859.9
279.909	19.337	114.843	277.422	337.33	158.048	31859.9
279.698	18.2961	114.843	277.422	337.12	157.007	31859.9
279.521	18.1969	114.843	277.422	336.942	156.908	31859.9
279.421	18.4411	114.843	277.422	336.843	157.152	31859.9
279.714	18.4488	114.843	277.422	337.135	157.16	31859.9
279.743	18.9264	114.843	277.422	337.165	157.637	31859.9
277.622	12.2593	120.585	291.293	337.915	157.906	35125.5
278.104	12.7316	120.585	291.293	338.397	158.378	35125.5
278.907	12.703	120.585	291.293	339.2	158.35	35125.5
280.03	12.2008	120.585	291.293	340.322	157.847	35125.5
282.174	10.385	120.585	291.293	342.466	156.032	35125.5
285.589	6.44044	120.585	291.293	345.881	152.087	35125.5
287.433	9.78668	120.585	291.293	347.725	155.433	35125.5
290.301	11.732	120.585	291.293	350.594	157.379	35125.5
291.966	13.6173	120.585	291.293	352.259	159.264	35125.5
296.432	20.8228	114.843	277.422	353.853	159.534	31859.9
297.485	21.0019	114.843	277.422	354.906	159.713	31859.9
298.708	20.86	114.843	277.422	356.129	159.571	31859.9
299.213	21.1645	114.843	277.422	356.634	159.876	31859.9
300.291	22.0942	114.843	277.422	357.713	160.805	31859.9
299.379	21.9211	114.843	277.422	356.8	160.632	31859.9
301.255	21.8459	114.843	277.422	358.676	160.557	31859.9
301.796	21.1617	114.843	277.422	359.217	159.873	31859.9
300.518	23.2191	114.843	277.422	357.94	161.93	31859.9
299.6	22.2824	114.843	277.422	357.021	160.993	31859.9
298.079	21.7693	114.843	277.422	355.501	160.48	31859.9
298.839	22.4498	114.843	277.422	356.26	161.161	31859.9
297.405	21.6885	114.843	277.422	354.827	160.4	31859.9
295.807	23.1589	114.843	277.422	353.228	161.87	31859.9
297.03	29.1216	109.374	264.212	351.717	161.227	28897.8
295.557	28.0517	109.374	264.212	350.244	160.157	28897.8
293.248	25.4616	109.374	264.212	347.935	157.567	28897.8
292.954	24.1469	109.374	264.212	347.641	156.253	28897.8
292.333	24.82	109.374	264.212	347.02	156.926	28897.8
290.49	27.0065	109.374	264.212	345.177	159.112	28897.8
290.409	26.5514	109.374	264.212	345.096	158.657	28897.8
290.42	26.0442	109.374	264.212	345.107	158.15	28897.8
290.373	26.1365	109.374	264.212	345.06	158.242	28897.8
289.974	25.1877	109.374	264.212	344.661	157.293	28897.8
290.011	24.1865	109.374	264.212	344.698	156.292	28897.8
290.439	23.1574	109.374	264.212	345.126	155.263	28897.8
289.717	23.0799	109.374	264.212	344.404	155.186	28897.8
289.592	22.286	109.374	264.212	344.279	154.392	28897.8
286.152	16.6111	114.843	277.422	343.573	155.322	31859.9
287.214	16.0759	114.843	277.422	344.636	154.787	31859.9
289.038	16.2067	114.843	277.422	346.46	154.918	31859.9
291.634	16.019	114.843	277.422	349.055	154.73	31859.9
294.945	15.3339	114.843	277.422	352.366	154.045	31859.9
299.22	13.6659	114.843	277.422	356.641	152.377	31859.9
303.467	14.1021	114.843	277.422	360.888	152.813	31859.9
305.88	14.0657	114.843	277.422	363.302	152.777	31859.9
307.764	14.9678	114.843	277.422	365.185	153.679	31859.9
308.448	17.0123	114.843	277.422	365.87	155.723	31859.9
309.206	17.487	114.843	277.422	366.627	156.198	31859.9
309.984	17.3046	114.843	277.422	367.405	156.016	31859.9
310.342	17.4023	114.843	277.422	367.763	156.113	31859.9
310.442	16.7237	114.843	277.422	367.863	155.435	31859.9
309.549	19.2312	114.843	277.422	366.97	157.942	31859.9
308.316	19.8433	114.843	277.422	365.737	158.554	31859.9
307.183	19.7401	114.843	277.422	364.605	158.451	31859.9
304.765	19.6155	114.843	277.422	362.186	158.327	31859.9
300.839	11.7744	120.585	291.293	361.132	157.421	35125.5
299.376	9.85635	120.585	291.293	359.669	155.503	35125.5
298.167	7.68463	120.585	291.293	358.46	153.331	35125.5
297.441	3.99985	120.585	291.293	357.734	149.646	35125.5
298.124	5.17118	120.585	291.293	358.417	150.818	35125.5
297.997	4.44001	120.585	291.293	358.29	150.087	35125.5
297.325	3.73359	120.585	291.293	357.617	149.38	35125.5
294.045	-1.29454	126.614	305.858	357.352	151.634	38725.9
293.076	0.0242608	126.614	305.858	356.383	152.953	38725.9
292.402	0.486835	126.614	305.858	355.709	153.416	38725.9
295.849	6.86315	120.585	291.293	356.141	152.51	35125.5
293.016	1.08102	126.614	305.858	356.323	154.01	38725.9
293.451	2.0973	126.614	305.858	356.758	155.026	38725.9
294.703	0.875657	126.614	305.858	358.01	153.805	38725.9
297.872	4.44936	120.585	291.293	358.164	150.096	35125.5
298.883	10.7367	120.585	291.293	359.175	156.383	35125.5
298.912	12.159	120.585	291.293	359.204	157.806	35125.5
298.669	13.5406	120.585	291.293	358.961	159.187	35125.5
298.921	14.5043	120.585	291.293	359.213	160.151	35125.5
299.077	14.094	120.585	291.293	359.369	159.741	35125.5
299.258	12.3047	120.585	291.293	359.55	157.951	35125.5
299.167	11.7172	120.585	291.293	359.459	157.364	35125.5
298.014	12.0872	120.585	291.293	358.307	157.734	35125.5
296.784	11.8513	120.585	291.293	357.076	157.498	35125.5
293.827	13.5114	120.585	291.293	354.119	159.158	35125.5
289.33	15.3407	120.585	291.293	349.623	160.987	35125.5
282.433	18.186	120.585	291.293	342.726	163.833	35125.5
275.06	20.7991	120.585	291.293	335.352	166.446	35125.5
266.87	19.2608	120.585	291.293	327.162	164.907	35125.5
263.971	25.8372	114.843	277.422	321.393	164.548	31859.9
258.537	25.0938	114.843	277.422	315.958	163.805	31859.9
253.586	24.6376	114.843	277.422	311.008	163.349	31859.9
249.741	23.6691	114.843	277.422	307.162	162.38	31859.9
248.547	22.5739	114.843	277.422	305.968	161.285	31859.9
247.533	22.9913	114.843	277.422	304.954	161.702	31859.9
244.398	21.91	114.843	277.422	301.819	160.621	31859.9
243.103	20.1924	114.843	277.422	300.524	158.903	31859.9
238.908	14.9115	120.585	291.293	299.201	160.558	35125.5
237.839	13.8649	120.585	291.293	298.131	159.511	35125.5
237.238	11.5642	120.585	291.293	297.531	157.211	35125.5
237.242	10.1599	120.585	291.293	297.534	155.806	35125.5
238.048	12.075	120.585	291.293	298.34	157.722	35125.5
236.813	11.173	120.585	291.293	297.106	156.82	35125.5
239.554	20.003	114.843	277.422	296.976	158.714	31859.9
238.67	19.9719	114.843	277.422	296.091	158.683	31859.9
237.683	21.0847	114.843	277.422	295.104	159.796	31859.9
236.905	23.1401	114.843	277.422	294.326	161.851	31859.9
237.747	24.3011	114.843	277.422	295.168	163.012	31859.9
